date,open,high,low,close,volume,Indicator[mal],Indicator[edgeMain],Indicator[mam],Indicator[mas],Indicator[mas_div]*,Indicator[edgeHalf],Indicator[upper_div]*,TradeRecordTable[deadTrade]_long,TradeRecordTable[deadTrade]_short,TradeRecordTable[deadTrade]_release,TradeRecordTable[goldenTrade]_long,TradeRecordTable[goldenTrade]_short,TradeRecordTable[goldenTrade]_release,blank
2007-05-08T09:09:00Z,1.3559,1.356,1.3559,1.3559,0.0,1.360134583333332,nan,1.359136499999999,1.356181666666666,-1.679320987654221e-005,nan,2.499999999994174e-005,,,,,,,
2007-05-08T09:10:00Z,1.3558,1.3558,1.3558,1.3558,0.0,1.360129916666666,nan,1.359129666666666,1.356171111111111,-1.672530864197509e-005,nan,2.500000000016378e-005,,,,,,,
2007-05-08T09:11:00Z,1.3559,1.356,1.3558,1.3559,0.0,1.360125083333332,nan,1.359122666666666,1.35616,-1.665740740740551e-005,nan,0.0,,,,,,,
2007-05-08T09:12:00Z,1.356,1.3561,1.3559,1.3561,0.0,1.360120333333332,nan,1.359116166666666,1.35615,-1.659259259259151e-005,nan,-5.000000000010552e-005,,,,,,,
2007-05-08T09:13:00Z,1.3562,1.3562,1.356,1.3561,0.0,1.360115749999999,nan,1.359110166666666,1.356141111111111,-1.654012345678869e-005,nan,0.0,,,,,,,
2007-05-08T09:14:00Z,1.356,1.3561,1.356,1.356,0.0,1.360111249999999,nan,1.359103999999999,1.356132222222222,-1.647530864197345e-005,nan,2.499999999994174e-005,,,,,,,
2007-05-08T09:15:00Z,1.3561,1.3562,1.356,1.3561,0.0,1.360106583333332,nan,1.359097666666666,1.356123333333333,-1.640432098765323e-005,nan,5.000000000010552e-005,,,,,,,
2007-05-08T09:16:00Z,1.356,1.3561,1.356,1.3561,0.0,1.360102083333332,nan,1.359091499999999,1.356115555555555,-1.633333333333301e-005,nan,7.500000000004725e-005,,,,,,,
2007-05-08T09:17:00Z,1.356,1.3561,1.356,1.356,0.0,1.360097499999999,nan,1.359085166666666,1.356108333333333,-1.626234567901156e-005,nan,5.000000000010552e-005,,,,,,,
2007-05-08T09:18:00Z,1.3561,1.3561,1.356,1.356,0.0,1.360092999999999,nan,1.359078833333332,1.356099999999999,-1.618827160493577e-005,nan,-2.220446049250313e-016,,,,,,,
2007-05-08T09:20:00Z,1.3561,1.3561,1.3561,1.3561,0.0,1.360088499999999,nan,1.359072499999999,1.356091666666666,-1.61111111111081e-005,nan,-2.499999999994174e-005,,,,,,,
2007-05-08T09:21:00Z,1.356,1.3561,1.356,1.356,0.0,1.360084166666666,nan,1.359066166666666,1.356087777777777,-1.604012345678788e-005,nan,0.0,,,,,,,
2007-05-08T09:22:00Z,1.3559,1.3561,1.3559,1.3561,0.0,1.360079749999999,nan,1.359059499999999,1.356085555555555,-1.59691358024652e-005,nan,-2.499999999994174e-005,,,,,,,
2007-05-08T09:23:00Z,1.356,1.3561,1.356,1.3561,0.0,1.360075416666666,nan,1.359052999999999,1.356083888888888,-1.585185185184715e-005,nan,0.0,,,,,,,
2007-05-08T09:24:00Z,1.3562,1.3562,1.3561,1.3562,0.0,1.360071166666666,nan,1.359046499999998,1.356082222222222,-1.571604938271169e-005,nan,0.0,,,,,,,
2007-05-08T09:25:00Z,1.3561,1.3562,1.3561,1.3561,0.0,1.360067,nan,1.359039833333332,1.356081666666666,-1.557407407407002e-005,nan,0.0,,,,,,,
2007-05-08T09:28:00Z,1.356,1.3561,1.356,1.356,0.0,1.360062833333332,nan,1.359033166666665,1.356079999999999,-1.543209876542834e-005,nan,2.500000000016378e-005,,,,,,,
2007-05-08T09:29:00Z,1.3561,1.3561,1.356,1.356,0.0,1.360058499999999,nan,1.359026499999998,1.356078333333333,-1.529012345678544e-005,nan,2.499999999994174e-005,,,,,,,
2007-05-08T09:30:00Z,1.3561,1.3561,1.356,1.3561,0.0,1.360054166666666,nan,1.359019499999998,1.356075555555555,-1.516049382715619e-005,nan,-2.220446049250313e-016,,,,,,,
2007-05-08T09:31:00Z,1.356,1.3561,1.356,1.356,0.0,1.360049833333333,nan,1.359012666666665,1.356073333333333,-1.502777777777261e-005,nan,0.0,,,,,,,
2007-05-08T09:32:00Z,1.3561,1.3561,1.356,1.3561,0.0,1.360045416666666,nan,1.359005666666665,1.35607111111111,-1.49135802469089e-005,nan,-2.499999999994174e-005,,,,,,,
2007-05-08T09:33:00Z,1.3562,1.3562,1.3561,1.3561,0.0,1.360041166666666,nan,1.358998166666664,1.356067222222221,-1.479320987653897e-005,nan,-2.499999999994174e-005,,,,,,,
2007-05-08T09:34:00Z,1.356,1.356,1.3558,1.3558,0.0,1.360036833333333,nan,1.358990499999998,1.356062777777777,-1.466975308641717e-005,nan,0.0,,,,,,,
2007-05-08T09:35:00Z,1.3559,1.3559,1.3558,1.3559,0.0,1.360032333333333,nan,1.358982333333332,1.356056666666666,-1.456172839505844e-005,nan,2.500000000016378e-005,,,,,,,
2007-05-08T09:36:00Z,1.3558,1.3559,1.3558,1.3559,0.0,1.360028,nan,1.358974499999998,1.35605111111111,-1.446296296295903e-005,nan,-2.500000000016378e-005,,,,,,,
2007-05-08T09:37:00Z,1.356,1.3561,1.3559,1.356,0.0,1.360023666666667,nan,1.358966499999998,1.356045555555554,-1.437654320987574e-005,nan,-5.000000000010552e-005,,,,,,,
2007-05-08T09:38:00Z,1.3559,1.356,1.3559,1.356,0.0,1.360019416666667,nan,1.358958999999999,1.35604111111111,-1.428703703703688e-005,nan,-4.999999999988347e-005,,,,,,,
2007-05-08T09:39:00Z,1.3559,1.356,1.3559,1.356,0.0,1.36001525,nan,1.358951499999999,1.35603611111111,-1.419753086419679e-005,nan,-2.500000000016378e-005,,,,,,,
2007-05-08T09:40:00Z,1.3561,1.3562,1.3561,1.3562,0.0,1.36001125,nan,1.358943666666665,1.356030555555554,-1.40956790123455e-005,nan,0.0,,,,,,,
2007-05-08T09:41:00Z,1.3561,1.3562,1.3561,1.3562,0.0,1.360007333333333,nan,1.358936166666665,1.356029444444443,-1.39999999999992e-005,nan,2.500000000016378e-005,,,,,,,
2007-05-08T09:42:00Z,1.3561,1.3561,1.3561,1.3561,0.0,1.3600035,nan,1.358928833333332,1.356027222222221,-1.391358024691468e-005,nan,7.500000000004725e-005,,,,,,,
2007-05-08T09:43:00Z,1.3562,1.3562,1.3561,1.3561,0.0,1.3599995,nan,1.358921333333332,1.356023888888887,-1.378395061728543e-005,nan,2.499999999994174e-005,,,,,,,
2007-05-08T09:44:00Z,1.356,1.356,1.3559,1.3559,0.0,1.359995583333334,nan,1.358913666666665,1.35602111111111,-1.366666666666862e-005,nan,2.499999999994174e-005,,,,,,,
2007-05-08T09:45:00Z,1.3558,1.3559,1.3558,1.3559,0.0,1.359991583333334,nan,1.358905833333332,1.356017222222221,-1.355864197531112e-005,nan,5.000000000010552e-005,,,,,,,
2007-05-08T09:46:00Z,1.3558,1.356,1.3558,1.3559,0.0,1.359987500000001,nan,1.358897833333332,1.356013333333332,-1.344444444444617e-005,nan,-5.000000000010552e-005,,,,,,,
2007-05-08T09:47:00Z,1.356,1.356,1.356,1.356,0.0,1.359983333333334,nan,1.358889999999999,1.356009444444443,-1.333950617283931e-005,nan,-7.500000000004725e-005,,,,,,,
2007-05-08T09:48:00Z,1.3559,1.356,1.3559,1.356,0.0,1.359979250000001,nan,1.358882499999999,1.356006666666665,-1.323456790123492e-005,nan,-2.499999999994174e-005,,,,,,,
2007-05-08T09:49:00Z,1.3559,1.356,1.3559,1.3559,0.0,1.359975083333334,nan,1.358875166666665,1.356004444444443,-1.312962962962929e-005,nan,-5.000000000010552e-005,,,,,,,
2007-05-08T09:50:00Z,1.3558,1.3559,1.3558,1.3558,0.0,1.359970750000001,nan,1.358867499999999,1.356000555555554,-1.301851851851746e-005,nan,0.0,,,,,,,
2007-05-08T09:51:00Z,1.3559,1.3559,1.3558,1.3558,0.0,1.359966333333334,nan,1.358859833333332,1.35599611111111,-1.290123456790064e-005,nan,2.500000000016378e-005,,,,,,,
2007-05-08T09:52:00Z,1.3557,1.3557,1.3556,1.3556,0.0,1.359961750000001,nan,1.358851833333332,1.35599111111111,-1.279938271604812e-005,nan,-2.499999999994174e-005,,,,,,,
